"","last.name","first.name","age","birth.year","sex","city","state","place","num.days","season.num","season.name","location","winner","second","third","name"
"255","Law","Peih-Gee",29,1978,"unknown","Marina del Rey","California",5,36,15,"Survivor: China","Zhelin, Jiujiang, Jiangxi, China","Todd Herzog","Courtney Yates","Amanda Kimmel","Peih-Gee Law"
"256","Martin","Denise",40,1967,"female","Martin","Massachusetts",4,38,15,"Survivor: China","Zhelin, Jiujiang, Jiangxi, China","Todd Herzog","Courtney Yates","Amanda Kimmel","Denise Martin"
"257","Kimmel","Amanda",22,1985,"female","Kalispell","Montana",3,40,15,"Survivor: China","Zhelin, Jiujiang, Jiangxi, China","Todd Herzog","Courtney Yates","Amanda Kimmel","Amanda Kimmel"
"258","Yates","Courtney",26,1981,"female","New York City","New York",2,40,15,"Survivor: China","Zhelin, Jiujiang, Jiangxi, China","Todd Herzog","Courtney Yates","Amanda Kimmel","Courtney Yates"
"259","Herzog","Todd",22,1985,"male","Pleasant Grove","Utah",1,40,15,"Survivor: China","Zhelin, Jiujiang, Jiangxi, China","Todd Herzog","Courtney Yates","Amanda Kimmel","Todd Herzog"
"260","Dalton","J",33,1975,"unknown","Danville","VirginiaPearl Islands",20,3,16,"Survivor: Micronesia","Koror, Palau","Parvati Shallow","Amanda Kimmel","Amanda Kimmel","J Dalton"
"261","Sartain","Mary",29,1979,"female","Emeryville","California",19,6,16,"Survivor: Micronesia","Koror, Palau","Parvati Shallow","Amanda Kimmel","Amanda Kimmel","Mary Sartain"
"262","Chan","Yau-Man",55,1953,"unknown","Martinez","CaliforniaFiji",18,8,16,"Survivor: Micronesia","Koror, Palau","Parvati Shallow","Amanda Kimmel","Amanda Kimmel","Yau-Man Chan"
"263","Bortone","Mic",34,1974,"unknown","Los Angeles","California",17,11,16,"Survivor: Micronesia","Koror, Palau","Parvati Shallow","Amanda Kimmel","Amanda Kimmel","Mic Bortone"
"264","Anderson","Joel",32,1976,"male","Avondale","Arizona",16,14,16,"Survivor: Micronesia","Koror, Palau","Parvati Shallow","Amanda Kimmel","Amanda Kimmel","Joel Anderson"
"265","Penner","Jonathan",45,1963,"male","Los Angeles","CaliforniaCook Islands",15,15,16,"Survivor: Micronesia","Koror, Palau","Parvati Shallow","Amanda Kimmel","Amanda Kimmel","Jonathan Penner"
"266","Welch","Chet",48,1960,"male","Ford City","Pennsylvania",14,17,16,"Survivor: Micronesia","Koror, Palau","Parvati Shallow","Amanda Kimmel","Amanda Kimmel","Chet Welch"
"267","Sleckman","Kath",45,1963,"unknown","Glen Ellyn","Illinois",13,19,16,"Survivor: Micronesia","Koror, Palau","Parvati Shallow","Amanda Kimmel","Amanda Kimmel","Kath Sleckman"
"268","Hughes-Wolf","Tracy",43,1965,"female","Fredericksburg","Virginia",12,20,16,"Survivor: Micronesia","Koror, Palau","Parvati Shallow","Amanda Kimmel","Amanda Kimmel","Tracy Hughes-Wolf"
"269","Cusack","Ami",34,1974,"female","Golden","ColoradoVanuatu",11,21,16,"Survivor: Micronesia","Koror, Palau","Parvati Shallow","Amanda Kimmel","Amanda Kimmel","Ami Cusack"
"270","Orlins","Eliza",25,1983,"female","New York City","New YorkVanuatu",10,24,16,"Survivor: Micronesia","Koror, Palau","Parvati Shallow","Amanda Kimmel","Amanda Kimmel","Eliza Orlins"
"271","Lusth","Os",26,1982,"unknown","Venice","CaliforniaCook Islands",9,27,16,"Survivor: Micronesia","Koror, Palau","Parvati Shallow","Amanda Kimmel","Amanda Kimmel","Os Lusth"
"272","Siska","Jason",22,1986,"male","Fox River Grove","Illinois",8,30,16,"Survivor: Micronesia","Koror, Palau","Parvati Shallow","Amanda Kimmel","Amanda Kimmel","Jason Siska"
"273","Clement","James",30,1978,"male","Clement","LouisianaChina",7,31,16,"Survivor: Micronesia","Koror, Palau","Parvati Shallow","Amanda Kimmel","Amanda Kimmel","James Clement"
"274","Jones","Alexis",24,1984,"female","Beverly Hills","California",6,33,16,"Survivor: Micronesia","Koror, Palau","Parvati Shallow","Amanda Kimmel","Amanda Kimmel","Alexis Jones"
"275","Reichenbach","Erik",22,1986,"male","Pinckney","Michigan",5,36,16,"Survivor: Micronesia","Koror, Palau","Parvati Shallow","Amanda Kimmel","Amanda Kimmel","Erik Reichenbach"
"276","Bolton","Natalie",32,1976,"female","Los Angeles","California",4,37,16,"Survivor: Micronesia","Koror, Palau","Parvati Shallow","Amanda Kimmel","Amanda Kimmel","Natalie Bolton"
"277","Fields","Cirie",37,1971,"unknown","Norwalk","ConnecticutPanama",3,38,16,"Survivor: Micronesia","Koror, Palau","Parvati Shallow","Amanda Kimmel","Amanda Kimmel","Cirie Fields"
"278","Kimmel","Amanda",23,1985,"female","Los Angeles","CaliforniaChina",2,40,16,"Survivor: Micronesia","Koror, Palau","Parvati Shallow","Amanda Kimmel","Amanda Kimmel","Amanda Kimmel"
"279","Shallow","Parvati",25,1983,"unknown","Los Angeles","CaliforniaCook Islands",1,40,16,"Survivor: Micronesia","Koror, Palau","Parvati Shallow","Amanda Kimmel","Amanda Kimmel","Parvati Shallow"
"280","Chase","Michelle",24,1984,"female","Los Angeles","California",18,3,17,"Survivor: Gabon","Wonga-Wongue Presidential Reserve, Estuaire, Gabon","Robert ""Bob"" Crowley","Susie Smith","Jessica ""Sugar"" Kiper","Michelle Chase"
"281","Larson","Gillian",61,1947,"female","Temecula","California",17,6,17,"Survivor: Gabon","Wonga-Wongue Presidential Reserve, Estuaire, Gabon","Robert ""Bob"" Crowley","Susie Smith","Jessica ""Sugar"" Kiper","Gillian Larson"
"282","Soto-Castillo","Paloma",23,1985,"female","Downey","California",16,9,17,"Survivor: Gabon","Wonga-Wongue Presidential Reserve, Estuaire, Gabon","Robert ""Bob"" Crowley","Susie Smith","Jessica ""Sugar"" Kiper","Paloma Soto-Castillo"
"283","Berg","Jacquie",25,1983,"female","Santa Barbara","California",15,12,17,"Survivor: Gabon","Wonga-Wongue Presidential Reserve, Estuaire, Gabon","Robert ""Bob"" Crowley","Susie Smith","Jessica ""Sugar"" Kiper","Jacquie Berg"
"284","Brown","Da",25,1983,"male","Portland","Oregon",14,15,17,"Survivor: Gabon","Wonga-Wongue Presidential Reserve, Estuaire, Gabon","Robert ""Bob"" Crowley","Susie Smith","Jessica ""Sugar"" Kiper","Da Brown"
"285","Czarnecki","Kelly",22,1986,"female","Buffalo Grove","Illinois",13,18,17,"Survivor: Gabon","Wonga-Wongue Presidential Reserve, Estuaire, Gabon","Robert ""Bob"" Crowley","Susie Smith","Jessica ""Sugar"" Kiper","Kelly Czarnecki"
"286","Gordon","Ace",27,1981,"male","Naples","Florida",12,21,17,"Survivor: Gabon","Wonga-Wongue Presidential Reserve, Estuaire, Gabon","Robert ""Bob"" Crowley","Susie Smith","Jessica ""Sugar"" Kiper","Ace Gordon"
"287","Kay","Dan",32,1976,"male","Boston","Massachusetts",11,21,17,"Survivor: Gabon","Wonga-Wongue Presidential Reserve, Estuaire, Gabon","Robert ""Bob"" Crowley","Susie Smith","Jessica ""Sugar"" Kiper","Dan Kay"
"288","Lehman","Marcus",28,1980,"male","Atlanta","Georgia",10,24,17,"Survivor: Gabon","Wonga-Wongue Presidential Reserve, Estuaire, Gabon","Robert ""Bob"" Crowley","Susie Smith","Jessica ""Sugar"" Kiper","Marcus Lehman"
"289","Herschel","Charlie",29,1979,"male","New York City","New York",9,27,17,"Survivor: Gabon","Wonga-Wongue Presidential Reserve, Estuaire, Gabon","Robert ""Bob"" Crowley","Susie Smith","Jessica ""Sugar"" Kiper","Charlie Herschel"
"290","Bailey","Randy",49,1959,"male","Eagle Rock","Missouri",8,30,17,"Survivor: Gabon","Wonga-Wongue Presidential Reserve, Estuaire, Gabon","Robert ""Bob"" Crowley","Susie Smith","Jessica ""Sugar"" Kiper","Randy Bailey"
"291","Kaplan","Corinne",29,1979,"female","Los Angeles","California",7,33,17,"Survivor: Gabon","Wonga-Wongue Presidential Reserve, Estuaire, Gabon","Robert ""Bob"" Crowley","Susie Smith","Jessica ""Sugar"" Kiper","Corinne Kaplan"
"292","Cox","Crystal",29,1979,"female","Durham","North Carolina",6,36,17,"Survivor: Gabon","Wonga-Wongue Presidential Reserve, Estuaire, Gabon","Robert ""Bob"" Crowley","Susie Smith","Jessica ""Sugar"" Kiper","Crystal Cox"
"293","Hoang","Ken",22,1986,"male","Westminster","California",5,37,17,"Survivor: Gabon","Wonga-Wongue Presidential Reserve, Estuaire, Gabon","Robert ""Bob"" Crowley","Susie Smith","Jessica ""Sugar"" Kiper","Ken Hoang"
"294","Whitmore","Matty",29,1979,"unknown","Pacific Palisades","California",4,38,17,"Survivor: Gabon","Wonga-Wongue Presidential Reserve, Estuaire, Gabon","Robert ""Bob"" Crowley","Susie Smith","Jessica ""Sugar"" Kiper","Matty Whitmore"
"295","Kiper","Jes",29,1979,"male","Brooklyn","New York",3,40,17,"Survivor: Gabon","Wonga-Wongue Presidential Reserve, Estuaire, Gabon","Robert ""Bob"" Crowley","Susie Smith","Jessica ""Sugar"" Kiper","Jes Kiper"
"296","Smith","Susie",47,1961,"female","Charles City","Iowa",2,40,17,"Survivor: Gabon","Wonga-Wongue Presidential Reserve, Estuaire, Gabon","Robert ""Bob"" Crowley","Susie Smith","Jessica ""Sugar"" Kiper","Susie Smith"
"297","Crowley","Rob",57,1951,"male","South Portland","Maine[6]",1,40,17,"Survivor: Gabon","Wonga-Wongue Presidential Reserve, Estuaire, Gabon","Robert ""Bob"" Crowley","Susie Smith","Jessica ""Sugar"" Kiper","Rob Crowley"
"298","Eastwood","Carolina",26,1983,"female","West Hollywood","California",16,3,18,"Survivor: Tocantins","Jalapão, Tocantins, Brazil","James ""J.T."" Thomas Jr.","Stephen Fishbach","Stephen Fishbach","Carolina Eastwood"
"299","Smith","Candace",31,1978,"female","Dayton","Ohio",15,6,18,"Survivor: Tocantins","Jalapão, Tocantins, Brazil","James ""J.T."" Thomas Jr.","Stephen Fishbach","Stephen Fishbach","Candace Smith"
"300","Sims","Jerry",49,1960,"male","Rock Hill","South Carolina",14,9,18,"Survivor: Tocantins","Jalapão, Tocantins, Brazil","James ""J.T."" Thomas Jr.","Stephen Fishbach","Stephen Fishbach","Jerry Sims"
"301","Burgin","Sandy",53,1956,"female","Louisville","Kentucky",13,12,18,"Survivor: Tocantins","Jalapão, Tocantins, Brazil","James ""J.T."" Thomas Jr.","Stephen Fishbach","Stephen Fishbach","Sandy Burgin"
"302","Duhm","Spencer",19,1990,"male","Lakeland","Florida",12,15,18,"Survivor: Tocantins","Jalapão, Tocantins, Brazil","James ""J.T."" Thomas Jr.","Stephen Fishbach","Stephen Fishbach","Spencer Duhm"
"303","Wheeler","Sydney",24,1985,"female","Raleigh","North Carolina",11,18,18,"Survivor: Tocantins","Jalapão, Tocantins, Brazil","James ""J.T."" Thomas Jr.","Stephen Fishbach","Stephen Fishbach","Sydney Wheeler"
"304","Dowdle","Joe",26,1983,"male","Austin","Texas",10,20,18,"Survivor: Tocantins","Jalapão, Tocantins, Brazil","James ""J.T."" Thomas Jr.","Stephen Fishbach","Stephen Fishbach","Joe Dowdle"
"305","Synnott","Brendan",30,1979,"male","Synnott","New York",9,24,18,"Survivor: Tocantins","Jalapão, Tocantins, Brazil","James ""J.T."" Thomas Jr.","Stephen Fishbach","Stephen Fishbach","Brendan Synnott"
"306","Apostol","Tyson",29,1980,"male","Lindon","Utah",8,27,18,"Survivor: Tocantins","Jalapão, Tocantins, Brazil","James ""J.T."" Thomas Jr.","Stephen Fishbach","Stephen Fishbach","Tyson Apostol"
"307","Reed","Sierra",23,1986,"female","Los Angeles","California",7,30,18,"Survivor: Tocantins","Jalapão, Tocantins, Brazil","James ""J.T."" Thomas Jr.","Stephen Fishbach","Stephen Fishbach","Sierra Reed"
"308","Beebe","De",46,1963,"female","Auburn","Alabama",6,33,18,"Survivor: Tocantins","Jalapão, Tocantins, Brazil","James ""J.T."" Thomas Jr.","Stephen Fishbach","Stephen Fishbach","De Beebe"
"309","Wade","Benj",37,1972,"unknown","Bolivar","Missouri",5,36,18,"Survivor: Tocantins","Jalapão, Tocantins, Brazil","James ""J.T."" Thomas Jr.","Stephen Fishbach","Stephen Fishbach","Benj Wade"
"310","Johnson-George","Tam",37,1972,"female","Nashville","Tennessee",4,37,18,"Survivor: Tocantins","Jalapão, Tocantins, Brazil","James ""J.T."" Thomas Jr.","Stephen Fishbach","Stephen Fishbach","Tam Johnson-George"
"311","Lobdell","Erinn",26,1983,"female","Waukesha","Wisconsin",3,38,18,"Survivor: Tocantins","Jalapão, Tocantins, Brazil","James ""J.T."" Thomas Jr.","Stephen Fishbach","Stephen Fishbach","Erinn Lobdell"
"312","Fishbach","Stephen",29,1980,"male","New York City","New York",2,40,18,"Survivor: Tocantins","Jalapão, Tocantins, Brazil","James ""J.T."" Thomas Jr.","Stephen Fishbach","Stephen Fishbach","Stephen Fishbach"
"313","Thomas Jr.","Ja",24,1985,"unknown","Samson","Alabama",1,40,18,"Survivor: Tocantins","Jalapão, Tocantins, Brazil","James ""J.T."" Thomas Jr.","Stephen Fishbach","Stephen Fishbach","Ja Thomas Jr."
"314","Calihan","Marisa",26,1983,"female","Cincinnati","Ohio",20,3,19,"Survivor: Samoa","Upolu, Samoa","Natalie White","Russell Hantz","Mick Trimming","Marisa Calihan"
"315","Borassi","Mike",62,1947,"male","Marina del Rey","California",19,5,19,"Survivor: Samoa","Upolu, Samoa","Natalie White","Russell Hantz","Mick Trimming","Mike Borassi"
"316","Bolan","Betsy",48,1961,"female","Campton","New Hampshire",18,6,19,"Survivor: Samoa","Upolu, Samoa","Natalie White","Russell Hantz","Mick Trimming","Betsy Bolan"
"317","Browning","Ben",28,1981,"male","Los Angeles","California",17,8,19,"Survivor: Samoa","Upolu, Samoa","Natalie White","Russell Hantz","Mick Trimming","Ben Browning"
"318","Giles","Yasmin",33,1976,"female","Los Angeles","California",16,11,19,"Survivor: Samoa","Upolu, Samoa","Natalie White","Russell Hantz","Mick Trimming","Yasmin Giles"
"319","Trainer","Ashley",22,1987,"female","Maple Grove","Minnesota",15,14,19,"Survivor: Samoa","Upolu, Samoa","Natalie White","Russell Hantz","Mick Trimming","Ashley Trainer"
"320","Swan","Russell",42,1967,"male","Glenside","Pennsylvania",14,15,19,"Survivor: Samoa","Upolu, Samoa","Natalie White","Russell Hantz","Mick Trimming","Russell Swan"
"321","Kim","Eliz",33,1976,"unknown","New York City","New York",13,18,19,"Survivor: Samoa","Upolu, Samoa","Natalie White","Russell Hantz","Mick Trimming","Eliz Kim"
"322","Cardona","Erik",28,1981,"male","Ontario","California",12,21,19,"Survivor: Samoa","Upolu, Samoa","Natalie White","Russell Hantz","Mick Trimming","Erik Cardona"
"323","Sharbaugh","Kelly",25,1984,"female","Los Angeles","California",11,24,19,"Survivor: Samoa","Upolu, Samoa","Natalie White","Russell Hantz","Mick Trimming","Kelly Sharbaugh"
"324","Morett","Laura",39,1970,"female","Salem","Oregon",10,27,19,"Survivor: Samoa","Upolu, Samoa","Natalie White","Russell Hantz","Mick Trimming","Laura Morett"
"325","Fincher","John",25,1984,"male","Los Angeles","California",9,30,19,"Survivor: Samoa","Upolu, Samoa","Natalie White","Russell Hantz","Mick Trimming","John Fincher"
"326","Ball","Da",38,1971,"unknown","Los Angeles","California",8,31,19,"Survivor: Samoa","Upolu, Samoa","Natalie White","Russell Hantz","Mick Trimming","Da Ball"
"327","Padilla","Monica",25,1984,"female","San Diego","California",7,33,19,"Survivor: Samoa","Upolu, Samoa","Natalie White","Russell Hantz","Mick Trimming","Monica Padilla"
"328","Waters","Sha",45,1964,"unknown","Renton","Washington",6,36,19,"Survivor: Samoa","Upolu, Samoa","Natalie White","Russell Hantz","Mick Trimming","Sha Waters"
"329","Robinson","Jaison",28,1981,"male","Chicago","Illinois",5,37,19,"Survivor: Samoa","Upolu, Samoa","Natalie White","Russell Hantz","Mick Trimming","Jaison Robinson"
"330","Clouser","Brett",23,1986,"male","Los Angeles","California",4,38,19,"Survivor: Samoa","Upolu, Samoa","Natalie White","Russell Hantz","Mick Trimming","Brett Clouser"
"331","Trimming","Mick",33,1976,"male","Los Angeles","California",3,40,19,"Survivor: Samoa","Upolu, Samoa","Natalie White","Russell Hantz","Mick Trimming","Mick Trimming"
"332","Hantz","Russell",36,1973,"male","Dayton","Texas",2,40,19,"Survivor: Samoa","Upolu, Samoa","Natalie White","Russell Hantz","Mick Trimming","Russell Hantz"
"333","White","Natalie",26,1983,"female","Van Buren","Arkansas",1,40,19,"Survivor: Samoa","Upolu, Samoa","Natalie White","Russell Hantz","Mick Trimming","Natalie White"
"334","Kiper","Jes",30,1980,"unknown","Kiper","CaliforniaGabon",20,3,20,"Survivor: Heroes vs. Villains","Upolu, Samoa","Sandra Diaz-Twine","Parvati Shallow","Russell Hantz","Jes Kiper"
"335","LaGrossa","Stephenie",29,1981,"female","Glenolden","PennsylvaniaPalau & Guatemala",19,6,20,"Survivor: Heroes vs. Villains","Upolu, Samoa","Sandra Diaz-Twine","Parvati Shallow","Russell Hantz","Stephenie LaGrossa"
"336","Bailey","Randy",50,1960,"male","Bailey","TexasGabon",18,8,20,"Survivor: Heroes vs. Villains","Upolu, Samoa","Sandra Diaz-Twine","Parvati Shallow","Russell Hantz","Randy Bailey"
"337","Fields","Cirie",39,1971,"unknown","Jersey City","New JerseyPanama & Micronesia",17,11,20,"Survivor: Heroes vs. Villains","Upolu, Samoa","Sandra Diaz-Twine","Parvati Shallow","Russell Hantz","Cirie Fields"
"338","Westman","Tom",45,1965,"male","Sayville","New YorkPalau",16,14,20,"Survivor: Heroes vs. Villains","Upolu, Samoa","Sandra Diaz-Twine","Parvati Shallow","Russell Hantz","Tom Westman"
"339","Apostol","Tyson",30,1980,"male","Apostol","UtahTocantins",15,15,20,"Survivor: Heroes vs. Villains","Upolu, Samoa","Sandra Diaz-Twine","Parvati Shallow","Russell Hantz","Tyson Apostol"
"340","Clement","James",32,1978,"male","Lafayette","LouisianaChina & Micronesia",14,15,20,"Survivor: Heroes vs. Villains","Upolu, Samoa","Sandra Diaz-Twine","Parvati Shallow","Russell Hantz","James Clement"
"341","Mariano","Rob",33,1977,"male","Pensacola","FloridaMarquesas & All-Stars",13,18,20,"Survivor: Heroes vs. Villains","Upolu, Samoa","Sandra Diaz-Twine","Parvati Shallow","Russell Hantz","Rob Mariano"
"342","Wade","Benj",38,1972,"unknown","Susanville","CaliforniaTocantins",12,21,20,"Survivor: Heroes vs. Villains","Upolu, Samoa","Sandra Diaz-Twine","Parvati Shallow","Russell Hantz","Benj Wade"
"343","Yates","Courtney",28,1982,"female","New York City","New YorkChina",11,24,20,"Survivor: Heroes vs. Villains","Upolu, Samoa","Sandra Diaz-Twine","Parvati Shallow","Russell Hantz","Courtney Yates"
"344","Thomas","Jr",25,1985,"male","Mobile","AlabamaTocantins",10,27,20,"Survivor: Heroes vs. Villains","Upolu, Samoa","Sandra Diaz-Twine","Parvati Shallow","Russell Hantz","Jr Thomas"
"345","Kimmel","Amanda",25,1985,"female","Los Angeles","CaliforniaChina & Micronesia",9,30,20,"Survivor: Heroes vs. Villains","Upolu, Samoa","Sandra Diaz-Twine","Parvati Shallow","Russell Hantz","Amanda Kimmel"
"346","Woodcock","Candice",26,1984,"female","Washington","D.C.Cook Islands",8,31,20,"Survivor: Heroes vs. Villains","Upolu, Samoa","Sandra Diaz-Twine","Parvati Shallow","Russell Hantz","Candice Woodcock"
"347","DiLorenzo","Danielle",28,1982,"female","Los Angeles","CaliforniaPanama",7,33,20,"Survivor: Heroes vs. Villains","Upolu, Samoa","Sandra Diaz-Twine","Parvati Shallow","Russell Hantz","Danielle DiLorenzo"
"348","Boneham","Rupert",45,1965,"male","Indianapolis","IndianaPearl Islands & All-Stars",6,36,20,"Survivor: Heroes vs. Villains","Upolu, Samoa","Sandra Diaz-Twine","Parvati Shallow","Russell Hantz","Rupert Boneham"
"349","Donaldson","Colby",35,1975,"male","Christoval","TexasThe Australian Outback & All-Stars",5,37,20,"Survivor: Heroes vs. Villains","Upolu, Samoa","Sandra Diaz-Twine","Parvati Shallow","Russell Hantz","Colby Donaldson"
"350","Manthey","Jerri",38,1972,"female","Los Angeles","CaliforniaThe Australian Outback & All-Stars",4,38,20,"Survivor: Heroes vs. Villains","Upolu, Samoa","Sandra Diaz-Twine","Parvati Shallow","Russell Hantz","Jerri Manthey"
"351","Hantz","Russell",36,1974,"male","Dayton","TexasSamoa",3,40,20,"Survivor: Heroes vs. Villains","Upolu, Samoa","Sandra Diaz-Twine","Parvati Shallow","Russell Hantz","Russell Hantz"
"352","Shallow","Parvati",26,1984,"unknown","Los Angeles","CaliforniaCook Islands & Micronesia",2,40,20,"Survivor: Heroes vs. Villains","Upolu, Samoa","Sandra Diaz-Twine","Parvati Shallow","Russell Hantz","Parvati Shallow"
"353","Diaz-Twine","Sandra",35,1975,"female","Stamford","ConnecticutPearl Islands",1,40,20,"Survivor: Heroes vs. Villains","Upolu, Samoa","Sandra Diaz-Twine","Parvati Shallow","Russell Hantz","Sandra Diaz-Twine"
"354","DeSmidt-Kohlhoff","We",48,1962,"unknown","Fromberg","Montana",20,3,21,"Survivor: Nicaragua","San Juan del Sur, Rivas, Nicaragua[10]","Jud ""Fabio"" Birza","Chase Rice","Matthew ""Sash"" Lenahan","We DeSmidt-Kohlhoff"
"355","Elkins","Shannon",30,1980,"female","Elkins","Louisiana",19,6,21,"Survivor: Nicaragua","San Juan del Sur, Rivas, Nicaragua[10]","Jud ""Fabio"" Birza","Chase Rice","Matthew ""Sash"" Lenahan","Shannon Elkins"
"356","Johnson","Jimmy",67,1943,"male","Islamorada","Florida",18,8,21,"Survivor: Nicaragua","San Juan del Sur, Rivas, Nicaragua[10]","Jud ""Fabio"" Birza","Chase Rice","Matthew ""Sash"" Lenahan","Jimmy Johnson"
"357","Tarantino","Jimmy",48,1962,"male","Gloucester","Massachusetts",17,11,21,"Survivor: Nicaragua","San Juan del Sur, Rivas, Nicaragua[10]","Jud ""Fabio"" Birza","Chase Rice","Matthew ""Sash"" Lenahan","Jimmy Tarantino"
"358","Davis","Tyrone",42,1968,"male","Inglewood","California",16,14,21,"Survivor: Nicaragua","San Juan del Sur, Rivas, Nicaragua[10]","Jud ""Fabio"" Birza","Chase Rice","Matthew ""Sash"" Lenahan","Tyrone Davis"
"359","Bruno","Kelly",26,1984,"female","Durham","North Carolina",15,15,21,"Survivor: Nicaragua","San Juan del Sur, Rivas, Nicaragua[10]","Jud ""Fabio"" Birza","Chase Rice","Matthew ""Sash"" Lenahan","Kelly Bruno"
"360","Rojas","Yve",41,1969,"unknown","Kansas City","Missouri",14,15,21,"Survivor: Nicaragua","San Juan del Sur, Rivas, Nicaragua[10]","Jud ""Fabio"" Birza","Chase Rice","Matthew ""Sash"" Lenahan","Yve Rojas"
"361","Behm","Jill",43,1967,"female","Erie","Pennsylvania",13,18,21,"Survivor: Nicaragua","San Juan del Sur, Rivas, Nicaragua[10]","Jud ""Fabio"" Birza","Chase Rice","Matthew ""Sash"" Lenahan","Jill Behm"
"362","Wilson","Alina",23,1987,"female","Downey","California",12,22,21,"Survivor: Nicaragua","San Juan del Sur, Rivas, Nicaragua[10]","Jud ""Fabio"" Birza","Chase Rice","Matthew ""Sash"" Lenahan","Alina Wilson"
"363","Piombo","Marty",48,1962,"male","Mill Valley","California",11,24,21,"Survivor: Nicaragua","San Juan del Sur, Rivas, Nicaragua[10]","Jud ""Fabio"" Birza","Chase Rice","Matthew ""Sash"" Lenahan","Marty Piombo"
"364","Lowe","Brenda",27,1983,"female","Miami","Florida",10,27,21,"Survivor: Nicaragua","San Juan del Sur, Rivas, Nicaragua[10]","Jud ""Fabio"" Birza","Chase Rice","Matthew ""Sash"" Lenahan","Brenda Lowe"
"365","Mixon","NaOnka",27,1983,"unknown","Los Angeles","California",9,28,21,"Survivor: Nicaragua","San Juan del Sur, Rivas, Nicaragua[10]","Jud ""Fabio"" Birza","Chase Rice","Matthew ""Sash"" Lenahan","NaOnka Mixon"
"366","Shinn","Kelly",20,1990,"female","Shinn","Arizona",8,28,21,"Survivor: Nicaragua","San Juan del Sur, Rivas, Nicaragua[10]","Jud ""Fabio"" Birza","Chase Rice","Matthew ""Sash"" Lenahan","Kelly Shinn"
"367","Henry","B",24,1986,"unknown","Los Angeles","California",7,32,21,"Survivor: Nicaragua","San Juan del Sur, Rivas, Nicaragua[10]","Jud ""Fabio"" Birza","Chase Rice","Matthew ""Sash"" Lenahan","B Henry"
"368","Bright","Jane",56,1954,"female","Jackson Springs","North Carolina",6,36,21,"Survivor: Nicaragua","San Juan del Sur, Rivas, Nicaragua[10]","Jud ""Fabio"" Birza","Chase Rice","Matthew ""Sash"" Lenahan","Jane Bright"
"369","Lembo","Dan",63,1947,"male","Water Mill","New York",5,37,21,"Survivor: Nicaragua","San Juan del Sur, Rivas, Nicaragua[10]","Jud ""Fabio"" Birza","Chase Rice","Matthew ""Sash"" Lenahan","Dan Lembo"
"370","Hoffman","Holly",44,1966,"female","Eureka","South Dakota",4,38,21,"Survivor: Nicaragua","San Juan del Sur, Rivas, Nicaragua[10]","Jud ""Fabio"" Birza","Chase Rice","Matthew ""Sash"" Lenahan","Holly Hoffman"
"371","Lenahan","Mat",30,1980,"unknown","Lenahan","New York",3,40,21,"Survivor: Nicaragua","San Juan del Sur, Rivas, Nicaragua[10]","Jud ""Fabio"" Birza","Chase Rice","Matthew ""Sash"" Lenahan","Mat Lenahan"
"372","Rice","Chase",24,1986,"male","Fairview","North Carolina",2,40,21,"Survivor: Nicaragua","San Juan del Sur, Rivas, Nicaragua[10]","Jud ""Fabio"" Birza","Chase Rice","Matthew ""Sash"" Lenahan","Chase Rice"
"373","Birza","J",21,1989,"unknown","Venice","California",1,40,21,"Survivor: Nicaragua","San Juan del Sur, Rivas, Nicaragua[10]","Jud ""Fabio"" Birza","Chase Rice","Matthew ""Sash"" Lenahan","J Birza"
"374","Hogi","Francesca",36,1975,"female","Washington","D.C.",18,6,22,"Survivor: Redemption Island","San Juan del Sur, Rivas, Nicaragua[10]","Rob Mariano","Phillip Sheppard","Natalie Tenerelli","Francesca Hogi"
"375","Hantz","Russell",37,1974,"male","Dayton","TexasSamoa & Heroes vs. Villains",17,10,22,"Survivor: Redemption Island","San Juan del Sur, Rivas, Nicaragua[10]","Rob Mariano","Phillip Sheppard","Natalie Tenerelli","Russell Hantz"
"376","Kell","Kristina",46,1965,"female","Malibu","California",16,12,22,"Survivor: Redemption Island","San Juan del Sur, Rivas, Nicaragua[10]","Rob Mariano","Phillip Sheppard","Natalie Tenerelli","Kristina Kell"
